input_row,submission_key,supplied_cod_imovel,resolved_cod_imovel,resolution_method,match_score,resolution_candidate_count,resolution_status,axes_repaired
18,32c203eba47cb98f8a878992c4dd27ad,GO-5212204-2849994015EF46DB90DE964061CB16A2,GO-5212204-2849994015EF46DB90DE964061CB16A2,id_exact,1.0,1,resolved,false
19,befefdd8fcbe3ddcaa7e43d55d1ebe1e,GO-5212204-28658426F94C46068323D3A6FEE33470,GO-5212204-28658426F94C46068323D3A6FEE33470,id_exact,1.0,1,resolved,false
20,3db691cbcec08145be9138fabcf4339c,GO-5212204-294B806F6169468E98BB3456EC5158A4,GO-5212204-294B806F6169468E98BB3456EC5158A4,id_exact,1.0,1,resolved,false
21,d9ddbe22c847464e8d25d1d17b72e661,GO-5212204-2AD669448DED4EF59B8729DE50E7DEE2,GO-5212204-2AD669448DED4EF59B8729DE50E7DEE2,id_exact,1.0,1,resolved,false
22,d578e569ed2aeded14d1fa522a13af07,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,id_exact,1.0,1,resolved,false
23,12a7ea24dcba0700768d074a1af5ac75,GO-5212204-2C904799081B439BB5AC023234C7073F,GO-5212204-2C904799081B439BB5AC023234C7073F,id_exact,1.0,1,resolved,false
24,e8d0f885686bfc627461e8e4bf8646ca,GO-5212204-2CC9462D520645069EBCBC7EA3D33548,GO-5212204-2CC9462D520645069EBCBC7EA3D33548,id_exact,1.0,1,resolved,false
25,3c9204c1d1676937757dc69a2b6d11a7,GO-5212204-304A3F0280604EAC866922F896EC2AF5,GO-5212204-304A3F0280604EAC866922F896EC2AF5,id_exact,1.0,1,resolved,false
26,3bcb24c2da8ef69a4f0912d12b78b9f4,GO-5212204-32E6D42B795F4D54B06D6D8C2709096C,GO-5212204-32E6D42B795F4D54B06D6D8C2709096C,id_exact,1.0,1,resolved,false
27,8f78b7a19cc0b0a8c1df4ed94e678f7f,GO-5212204-3AF33D4A071C45C88BD8B31829ACFD81,GO-5212204-3AF33D4A071C45C88BD8B31829ACFD81,id_exact,1.0,1,resolved,false
